ling,yuan,xing 〇
shi 使
xing 侀
shen 侁
tuo 侂
kan 侃
zhi 侄
gai,hai 侅
lai 來
yi 侇
chi 侈
hua,kua,e,wu 侉
guang 侊
li,lie 例
yin 侌
shi 侍
mi 侎
zhou,zhu 侏
xu 侐
you 侑
an 侒
lu 侓
mou,mao 侔
er 侕
lun 侖
dong,tong 侗
cha 侘
chi 侙
xun 侚
gong 供
zhou 侜
yi 依
ru 侞
cun,jian 侟
xia 侠
si 価
dai 侢
lv 侣
ta 侤
jiao,yao 侥
zhen 侦
zhai,ze,ce 侧
qiao 侨
kuai 侩
chai 侪
ning 侫
nong 侬
jin 侭
wu 侮
hou 侯
jiong 侰
ting,cheng 侱
chen,zhen 侲
zuo 侳
chou 侴
qin 侵
lv 侶
ju 侷
shu,dou 侸
ting 侹
shen 侺
tuo,tui 侻
bo 侼
nan 侽
xiao 侾
pian,bian 便
tui 俀
yu 俁
xi 係
chuo,cu 促
e 俄
qiu 俅
xu,shu 俆
guang 俇
ku 俈
wu 俉
jun 俊
yi 俋
fu 俌
liang,lang 俍
zu 俎
qiao,xiao 俏
li 俐
yong 俑
hun 俒
jing,ying 俓
qian,xian 俔
san 俕
pei 俖
su 俗
fu 俘
xi 俙
li 俚
fu,mian 俛
ping 俜
bao 保
yu,shu 俞
qi,si 俟
xia 俠
xin 信
xiu 俢
yu 俣
di 俤
ju,che 俥
chou 俦
zhi 俧
yan 俨
liang,lia 俩
li 俪
lai 俫
si 俬
jian 俭
xiu 修
fu 俯
huo 俰
ju 俱
xiao 俲
pai 俳
jian 俴
biao 俵
shu,chu,ti 俶
fei 俷
feng,beng 俸
ya 俹
an,yan 俺
bei 俻
yu 俼
xin 俽
pi,bei,bi 俾
chi,hu 俿
zheng,chang,cheng 倀
zhi 倁
bing 倂
jiu 倃
yao 倄
zu,cui 倅
liang,lia 倆
wan 倇
lai,lie 倈
chuang,cang 倉
zong 倊
ge 個
guan 倌
bei,pei 倍
tian 倎
shu 倏
shu 倐
men 們
dao 倒
dan,tan 倓
jue 倔
zhui,chui 倕
xing 倖
peng,ping 倗
chang,tang 倘
hou 候
ji,yi 倚
qi 倛
diao,ti,zhou 倜
gan 倝
liang,jing 倞
jie 借
sui 倠
chang 倡
jie,qie 倢
fang 倣
zhi 値
kong 倥
juan 倦
zong 倧
ju 倨
qian,qing 倩
nie,ni 倪
lun 倫
zhuo 倬
wei,wo 倭
luo 倮
song 倯
ling,leng 倰
hun 倱
dong 倲
zi 倳
ben 倴
wu 倵
ju 倶
nai 倷
cai 倸
jian 倹
zhai 债
ye 倻
zhi 值
sha 倽
qing 倾
ning 倿
ying 偀
cheng 偁
qian 偂
yan 偃
ruan,ru 偄
chong,zhong,tong 偅
chun 偆
jie,jia,xia,ge 假
ji,jie,qi 偈
wei 偉
yu 偊
bing 偋
re,ruo 偌
ti 偍
wei 偎
pian 偏
yan 偐
feng 偑
dang,tang 偒
wo 偓
e 偔
jie,xie 偕
che 偖
sheng 偗
kan 偘
di 偙
zuo 做
cha 偛
ting 停
bei 偝
ye,zha,xie 偞
huang 偟
yao 偠
zhan 偡
qiao,zou,chou 偢
yan 偣
you 偤
jian 健
xu 偦
zha 偧
ci 偨
fu 偩
fu,bi 偪
zhi 偫
zong,cong 偬
mian 偭
ji 偮
yi 偯
xie 偰
xun 偱
cai,si 偲
duan 偳
zhai,ze,ce 側
zheng,zhen 偵
ou 偶
tou 偷
tou 偸
bei 偹
zan,za 偺
lv,lou 偻
jie 偼
gui,wei,e 偽
fen 偾
chang 偿
gui,kui,kuai 傀
sou 傁
zhi,si 傂
su 傃
xia 傄
fu 傅
yuan 傆
rong 傇
li 傈
nu 傉
yun 傊
jiang,gou 傋
ma 傌
bang,peng,beng,pang 傍
dian 傎
tang 傏
hao 傐
jie 傑
xi 傒
shan 傓
qian,jian 傔
que,jue 傕
chen,cheng,cang 傖
chu 傗
san 傘
bei 備
xiao 傚
rong,yong 傛
yao 傜
ta,tan 傝
suo 傞
yang 傟
fa 傠
bing 傡
xiang,jia 傢
dai 傣
zai 傤
tang 傥
gu 傦
bin 傧
chu 储
nuo 傩
san,ca,can,sen 傪
lei 傫
cui 催
chong,yong 傭
cao,zao 傮
zong 傯
peng,beng 傰
song,shuang 傱
ao 傲
zhuan,chuan 傳
yu 傴
zhai 債
zu,qi 傶
shang 傷
chuang 傸
jing 傹
chi 傺
sha 傻
han 傼
zhang 傽
qing 傾
yin,yan 傿
di 僀
su,xie 僁
liu,lv,lou 僂
bei 僃
piao,biao 僄
jin 僅
lian 僆
lu,liao 僇
man 僈
qian 僉
xian 僊
lan,tan 僋
ying 僌
dong 働
zhuan,zun 僎
xiang 像
shan 僐
jiao,qiao 僑
jiong 僒
tui 僓
cuan,zun 僔
pu,bu 僕
xi 僖
lao 僗
chang 僘
guang 僙
liao,lao 僚
qi 僛
cheng,deng,teng 僜
zhuan,chan 僝
wei 僞
ji 僟
bo 僠
hui 僡
chuan,chun 僢
tie,jian 僣
shan,dan,chan,da 僤
jiao,yao 僥
jiu 僦
ceng,seng 僧
fen 僨
xian 僩
ju,yu 僪
e 僫
jiao 僬
jian,zen 僭
chong,zhuang,tong 僮
lin 僯
bo 僰
gu 僱
xian 僲
su 僳
xian 僴
jiang 僵
min 僶
ye 僷
jin 僸
jie,jia,qia 價
qiao 僺
pi 僻
feng 僼
zhou 僽
ai 僾
sai 僿
yi 儀
jun 儁
nong 儂
shan,dan,zhan,chan,tan 儃
yi 億
dang 儅
jing 儆
xuan 儇
kuai 儈
jian 儉
chu 儊
shan,dan 儋
jiao 儌
sha 儍
zai 儎
can 儏
bin 儐
an 儑
ru 儒
tai 儓
dao,chou 儔
chai 儕
lan 儖
ai,yi,ni 儗
jin 儘
qian 儙
meng 儚
wu 儛
ning 儜
qiong 儝
ni 儞
chang 償
lie,la 儠
lei 儡
lv 儢
kuang 儣
bao 儤
yu,di,du 儥
biao 儦
zan 儧
zhi 儨
si 儩
you 優
hao 儫
qing 儬
chen,qin 儭
li 儮
teng 儯
wei 儰
long 儱
chu 儲
chan 儳
xiang,rang 儴
shu,tiao 儵
hui,xie 儶
li 儷
luo 儸
zan 儹
nuo 儺
chang,tang 儻
yan 儼
lei,luo 儽
nang 儾
ren,er 儿
wu 兀
yun,yuan 允
zan 兂
yuan 元
kuang,xiong 兄
chong 充
zhao 兆
xiong 兇
xian 先
guang 光
dui 兊
ke 克
dui 兌
wan,mian,wen 免
tu 兎
chang 兏
er 児
rui,dui,duo 兑
ni,er 兒
zan,jin 兓
tu,chan 兔
si 兕
yan 兖
yan 兗
shi 兘
dang 党
qian 兛
dou 兜
fen 兝
mao 兞
shen 兟
dou 兠
jing 兢
li 兣
huang 兤
ru 入
wang 兦
nei 內
quan 全
liang 兩
yu,shu,zhu 兪
ba 八
gong 公
liu,lu 六
xi 兮
han 兯
lan 兰
hong,gong 共
tian 兲
guan 关
xing 兴
bing 兵
ji,qi 其
ju 具
dian,tian 典
ci,zi 兹
fen 兺
yang 养
jian 兼
shou 兽
ji 兾
yi 兿
ji 冀
chan 冁
jiong 冂
mao 冃
ran 冄
na,nei,rui 内
yuan 円
mao 冇
gang 冈
dan,nan,ran 冉
ce 冊
jiong 冋
ce 册
zai 再
gua 冎
jiong 冏
mao 冐
zhou 冑
mao,mo 冒
gou 冓
xu 冔
mian 冕
mi 冖
rong 冗
yin,you 冘
xie 写
kan 冚
jun 军
nong 农
yi 冝
mi 冞
shi 冟
guan 冠
meng 冡
zhong 冢
ju 冣
yuan 冤
mian,ming 冥
kou 冦
lin 冧
fu 冨
xie 冩
mi 冪
bing 冫
dong 冬
tai 冭
gang 冮
feng,ping 冯
bing,ning 冰
hu 冱
chong 冲
jue 决
hu 冴
kuang 况
ye 冶
ling,leng 冷
pan 冸
fu 冹
min 冺
dong 冻
sheng,xian 冼
lie 冽
qia 冾
jian 冿
cheng,jing 净
sou 凁
mei 凂
tu 凃
qi 凄
gu 凅
zhun 准
song 凇
jing 凈
liang 凉
qing 凊
diao 凋
ling 凌
dong 凍
gan 凎
jian 减
yin 凐
cou 凑
ai 凒
li 凓
chuang,cang 凔
ming 凕
zhun 凖
cui 凗
si 凘
duo 凙
jin 凚
lin 凛
lin 凜
ning 凝
xi 凞
du 凟
ji 几
fan 凡
fan 凢
fan 凣
feng 凤
ju 凥
chu 処
zheng 凧
feng 凨
mu 凩
zhi 凪
fu 凫
feng 凬
ping 凭
feng 凮
kai 凯
huang 凰
kai 凱
gan 凲
deng 凳
ping 凴
qian,kan 凵
xiong 凶
kuai 凷
tu 凸
ao,wa 凹
chu 出
ji 击
dang 凼
han 函
han 凾
zuo,zao 凿
diao,dao 刀
diao 刁
dao 刂
ren 刃
ren 刄
chuang 刅
fen 分
qie,qi 切
yi 刈
ji 刉
kan 刊
qian 刋
cun 刌
chu 刍
wen 刎
ji 刏
dan 刐
xing 刑
hua,guo,huai 划
wan 刓
jue 刔
li 刕
yue 刖
li,lie 列
liu 刘
ze 则
gang 刚
chuang 创
fu 刜
chu 初
qu 刞
diao 刟
shan 删
min 刡
ling 刢
zhong 刣
pan 判
bie 別
jie 刦
jie 刧
pao,bao 刨
li 利
shan 刪
bie 别
chan 刬
jing 刭
gua 刮
geng 刯
dao 到
chuang 刱
kui 刲
ku,kou 刳
duo 刴
er 刵
zhi 制
shua 刷
quan,xuan 券
sha,cha 刹
ci,qi 刺
ke,kei 刻
jie 刼
gui 刽
ci 刾
gui 刿
kai 剀
duo 剁
ji 剂
ti 剃
jing 剄
dou,lou 剅
luo 剆
ze 則
yuan 剈
cuo 剉
shao,qiao,xue,xiao 削
ke,kei 剋
la 剌
qian,jian 前
sha 剎
chuang 剏
gua 剐
jian 剑
cuo 剒
li 剓
ti 剔
fei 剕
po,pou 剖
chan 剗
qi 剘
chuang 剙
zi 剚
gang 剛
wan 剜
bo 剝
ji 剞
chi,duo 剟
lve,qing 剠
shan,yan 剡
zhuo,du 剢
jian 剣
ji 剤
pu,bao,bo 剥
yan 剦
ju 剧
huo 剨
sheng 剩
jian 剪
duo,du 剫
duan,tuan,zhi 剬
wu 剭
gua 剮
pi,fu 副
sheng 剰
jian 剱
ge 割
da,zha 剳
ai,kai 剴
qiang,chuang 創
chuan 剶
chan 剷
zhuan,tuan 剸
lu,jiu 剹
li 剺
peng 剻
shan 剼
piao,biao 剽
kou 剾
jiao,chao 剿
gua 劀
qiao 劁
jue 劂
hua,huai 劃
zha 劄
zhuo 劅
lian 劆
ju 劇
pi 劈
liu 劉
gui 劊
jiao,chao 劋
gui 劌
jian 劍
jian 劎
tang 劏
huo,hua 劐
ji 劑
jian 劒
yi 劓
jian 劔
zhi 劕
chan 劖
zuan,jian 劗
mi,mo 劘
li 劙
zhu 劚
li 力
ya 劜
quan 劝
ban 办
gong 功
jia 加
wu 务
mai 劢
lie 劣
jin 劤
keng 劥
lie,xie 劦
zhi 劧
dong 动
chu,zhu 助
nu 努
jie 劫
qu 劬
shao 劭
yi 劮
zhu 劯
mo 劰
li 励
jin,jing 劲
lao 劳
lao 労
juan 劵
kou 劶
yang 劷
wa 劸
xiao 効
mou 劺
kuang 劻
jie 劼
lie 劽
kai,he 劾
shi 势
ke 勀
jin,jing 勁
gao 勂
bo 勃
min 勄
chi 勅
lang 勆
yong 勇
yong 勈
mian 勉
ke 勊
xun 勋
juan 勌
qing 勍
lu 勎
bu 勏
meng 勐
lai,chi 勑
lei,le 勒
kai 勓
mian 勔
dong 動
xu,mao 勖
xu 勗
kan 勘
mao,wu 務
yi 勚
xun 勛
weng,yang 勜
sheng 勝
liao,lao 勞
mu,bo 募
lu 勠
piao 勡
shi 勢
ji 勣
qin,qi 勤
qiang,jiang 勥
jiao,chao 勦
quan 勧
xiang 勨
yi 勩
jue 勪
fan 勫
juan 勬
dong,tong 勭
ju 勮
dan 勯
xie 勰
mai 勱
xun 勲
xun 勳
lv 勴
li 勵
che 勶
xiang,rang 勷
quan 勸
bao 勹
zhuo,shao,shuo,di 勺
yun 勻
jiu 勼
bao 勽
gou 勾
mo,wu 勿
jun,yun 匀
wen 匁
xiong 匂
gai 匃
gai 匄
pao,fu,bao 包
cong 匆
yi 匇
xiong 匈
peng 匉
ju 匊
tao,yao 匋
ge 匌
pu 匍
e 匎
pao 匏
fu 匐
gong 匑
da 匒
jiu 匓
gong 匔
pin,bi 匕
huo,hua 化
bei 北
nao 匘
chi,shi 匙
fang 匚
jiu 匛
yi 匜
za 匝
jiang 匞
kang 匟
jiang 匠
kuang,wang 匡
hu 匢
xia 匣
qu 匤
fan 匥
gui 匦
qie 匧
zang,cang 匨
kuang 匩
fei,fen 匪
hu 匫
yu 匬
gui 匭
kui 匮
hui 匯
dan 匰
gui,kui 匱
lian 匲
lian 匳
suan 匴
du 匵
jiu 匶
jue 匷
xi 匸
pi 匹
qu,ou 区
yi 医
ke,an,e 匼
yan 匽
bian 匾
te,ni 匿
qu,qiu,kou,ou,gou 區
shi 十
xun 卂
qian 千
nian 卄
sa 卅
zu 卆
sheng 升
wu 午
hui 卉
ban,pan 半
shi 卋
xi 卌
wan 卍
hua 华
xie 协
wan 卐
pi,bei,ban,bi 卑
zu,cui,cu 卒
zhuo 卓
xie 協
shan,dan,chan 单
mai 卖
na,nan 南
dan 単
chi,ji 卙
bo 博
shuai 卛
pu,bu,bo 卜
kuang,guan 卝
pan,bian 卞
ji,bu 卟
tie,zhan 占
ka,qia 卡
lu 卢
you 卣
lu,xi 卤
xi 卥
gua 卦
wo 卧
xie 卨
jie 卩
jie 卪
wei 卫
ang,yang 卬
qiong 卭
zhi 卮
mao 卯
yin,yi 印
wei 危
shao 卲
ji 即
que 却
luan,kun 卵
chi 卶
quan,gun,jun,juan 卷
xie 卸
xu,su 卹
jin 卺
jiao,que,xi 卻
wu 卼
ji 卽
e 卾
qing 卿
xi 厀
san 厁
an,chang,yan,han 厂
wei,yan 厃
e 厄
ting 厅
li 历
zhai,zhe 厇
an,han 厈
li 厉
ya 厊
ya 压
yan 厌
she 厍
di,zhi 厎
zhai,zha 厏
pang 厐
ya 厑
qie 厒
ya,ai 厓
zhi,shi 厔
ce,si 厕
pang,mang 厖
ti 厗
li,chan 厘
she 厙
hou 厚
ting 厛
zui 厜
cuo,ji 厝
fei 厞
yuan 原
ce 厠
yuan 厡
xiang 厢
yan 厣
li 厤
jue 厥
sha,xia 厦
dian 厧
chu 厨
jiu 厩
jin 厪
ao 厫
gui 厬
ya,yi,yan 厭
si 厮
li 厯
chang 厰
qian,lan 厱
lai,li 厲
yan 厳
yan 厴
yuan 厵
mou,si 厶
hong,gong 厷
min,lin 厸
qiu,rou 厹
qu 厺
qu 去
er 厼
lei 厽
du 厾
xian 县
zhuan,hui 叀
san 叁
cen,can,shen 参
san,cen,can,shen 參
can 叄
can 叅
ai 叆
dai 叇
you 又
cha 叉
ji 及
you 友
shuang 双
fan 反
shou 収
guai 叏
ba 叐
fa 发
ruo 叒
li,shi 叓
shu 叔
zhuo,li,yi,jue 叕
qu 取
dao,shou 受
bian 变
xu 叙
jia,xia 叚
pan 叛
sou 叜
ji 叝
wei 叞
xiao,sou 叟
die 叠
rui 叡
cong 叢
kou 口
gu,ku 古
ju,qu,gou 句
ling 另
gua 叧
tao,dao 叨
kou 叩
zhi 只
jiao 叫
shao,zhao 召
ba,pa 叭
ding 叮
ke,ge 可
tai,yi,si 台
chi,hua,e 叱
shi 史
you 右
qiu 叴
po 叵
ye,xie 叶
hao,xiao 号
ci,si 司
yi,tan,you 叹
chi 叺
li,le 叻
diao 叼
jiao,ji 叽
liao 叾
hong 叿
mie 吀
xu,yu 吁
mang 吂
chi,qi 吃
ge 各
song,xuan 吅
yao 吆
ji,zi 吇
he,ge 合
ji 吉
diao 吊
dou,cun,ying 吋
tong 同
ming 名
hou 后
li 吏
tu 吐
xiang 向
zha 吒
ha,xia,he 吓
ye 吔
lv 吕
ya,a 吖
ma 吗
ou 吘
huo 吙
yi,xi 吚
jun 君
chou 吜
lin 吝
tian,tun 吞
yin,jin 吟
fei 吠
pi,bi 吡
qin 吢
qin 吣
jie,xie,ge 吤
bu,pou 吥
pi,fou 否
ba,pa 吧
dun,tun 吨
fen,pen 吩
hua,e 吪
han 含
yin,ting,yi 听
keng,hang 吭
shun 吮
qi 启
hong 吰
zhi,qi,zi 吱
yin,shen 吲
yu,wu 吳
tun,wu 吴
miao,chao 吵
na 吶
chuo,xue,jue 吷
xi 吸
chui 吹
dou,ru 吺
wen 吻
hou 吼
hong,ou,hou 吽
ya,yu,wu 吾
gao 吿
ya,xia 呀
jun 呁
lv 呂
ai,e 呃
ge 呄
mei,wen 呅
ai,bao,dai 呆
qi 呇
kuang,cheng 呈
wu 呉
ju,gu,gao 告
fu 呋
jiao 呌
hong 呍
chi,ying 呎
sheng 呏
na,nuo,ne 呐
tun 呑
ḿ,wu 呒
yi 呓
tai,dai 呔
ou 呕
li 呖
bei,bai 呗
yuan,yun 员
guo 呙
wen 呚
qiang 呛
wu 呜
e 呝
shi 呞
juan 呟
pen 呠
min,wen 呡
ni,ne 呢
ḿ,mou,m̀ 呣
ling 呤
ran 呥
you 呦
di 呧
zhou 周
shi 呩
zhou 呪
tie,che 呫
chi,xi 呬
yi 呭
zhi,qi 呮
ping 呯
ji,ci,xi,zi 呰
gu,gua 呱
ci,zi 呲
wei,mei 味
xu,gu,hou,gou 呴
ke,huo,ha,he,a 呵
na,nao,nu 呶
ga,xia,jia 呷
pei 呸
chi,yi 呹
hao,xiao 呺
shen 呻
xu,hu,xiao,he,xia 呼
ming 命
ya,ta,dan,da 呾
qu,ka 呿
ju,zui 咀
gan,han,xian 咁
za 咂
tuo 咃
duo 咄
pou 咅
pao 咆
bi,bie 咇
fu 咈
yang 咉
he 咊
ze,za,zha 咋
huo,hu,he 和
hai,tai 咍
gao,jiu 咎
yong 咏
fu 咐
da 咑
zhou 咒
wa 咓
ka,nong 咔
gu 咕
ga,ka,jia 咖
zuo 咗
bu 咘
long 咙
dong 咚
ning 咛
ta 咜
si 咝
xian 咞
huo 咟
qi 咠
er 咡
e 咢
gong,guang 咣
zha 咤
xi,die,zhi 咥
yi,xi 咦
lie 咧
zi 咨
mie 咩
mai,mi,mie 咪
zhi 咫
jiao,yao 咬
ji,xi,qia 咭
ru,zhou,zhu 咮
lo,ka,luo,ge 咯
shu,xun 咰
zan,za 咱
xiao 咲
gai,ke,hai 咳
hui,hai 咴
kua 咵
hua,guo,gua,shi,huai 咶
tao,tiao 咷
jian,xian 咸
an,n,e 咹
xuan 咺
xu,xiu,xiao 咻
guo,gua,wai,he,wo 咼
ye,yan,yuan 咽
lao 咾
yi 咿
ai 哀
pin 品
shen 哂
tong 哃
hong 哄
hong,xiong 哅
chi,die,zha,duo 哆
gui,hua,wa 哇
ta,ha,sha,he 哈
zai 哉
you 哊
di,die 哋
pai,gu 哌
xiang 响
ai 哎
ǹ,hen,gen 哏
kuang,qiang 哐
ya 哑
da 哒
xiao 哓
bi 哔
hui,yue 哕
nian 哖
hua 哗
xing 哘
kuai 哙
duo 哚
fen 哛
ji 哜
nong 哝
mou 哞
yo 哟
hao 哠
yuan,yun 員
long 哢
pou 哣
mang 哤
ge 哥
o,e 哦
chi,xia,he 哧
shao,xiao,sao 哨
mai,li,ying 哩
na,nei,nie,nuo,nai,ne 哪
zu 哫
he 哬
ku 哭
xiao,xue 哮
xian 哯
lao 哰
po,bei,bo,ba 哱
zhe 哲
zha 哳
liang,lang 哴
ba 哵
mie 哶
lv,lie 哷
sui 哸
fu 哹
fu,bu 哺
han 哻
hng,heng 哼
ng,n,geng,ying 哽
shuo,yue 哾
ge 哿
you 唀
yan 唁
gu 唂
gu 唃
bei,bai 唄
han 唅
shua,suo 唆
chun,zhen 唇
yi 唈
ai 唉
qian,jia 唊
tu 唋
dan,yan,xian 唌
wan 唍
li 唎
xi,xie 唏
tang 唐
zuo,shi 唑
qiu 唒
che 唓
ḿ,ng,n,wu 唔
zao 唕
ya 唖
dou 唗
qi 唘
di 唙
qin 唚
ma 唛
mo 唜
hong,gong 唝
dou 唞
qu 唟
lao 唠
liang,ying 唡
suo 唢
zao 唣
huan 唤
lang 唥
sha 唦
ji,jie 唧
zu 唨
wei,wo 唩
feng,beng 唪
yin,jin 唫
hu,hao,guo,xiao,xia 唬
qi 唭
shu,shou 售
wei 唯
shua 唰
chang 唱
wa,er 唲
li 唳
qiang 唴
ng,an,n 唵
ze,jie 唶
yu,yo 唷
nian,dian 唸
yu 唹
tian 唺
lai 唻
sha,qie 唼
xi 唽
tuo 唾
hu 唿
ai 啀
diao,dao,zhao,zhou,tiao 啁
nou 啂
ken 啃
zhuo,zhou 啄
zhuo,zhao 啅
shang 商
zhai,di,shi 啇
heng,e,za 啈
len,lan,lin 啉
e,a 啊
xiao,cai 啋
xiang,qiang 啌
zhun,xiang,tun,tui,dui 啍
wu 啎
wen 問
zu,cui,za,e,chuai 啐
die,sha,za,jie,ti 啑
gu 啒
qi 啓
qi 啔
tao 啕
dan 啖
dan 啗
ye,wa 啘
ci,zi 啙
tu,bi 啚
cui 啛
zhuo,chuo,chuai 啜
he 啝
ya,e 啞
qi 啟
zhe 啠
pai,pei,fei,bai 啡
liang,ying 啢
xian 啣
pi 啤
sha 啥
la 啦
ze 啧
qing,ying 啨
gua 啩
pa 啪
zhe 啫
se 啬
zhuan 啭
nie 啮
guo 啯
luo 啰
yan 啱
di 啲
quan,jue 啳
chan,tan 啴
bo 啵
ding 啶
lang 啷
xiao 啸
ju 啹
tang 啺
chi,di 啻
ti 啼
an 啽
jiu 啾
dan 啿
ke,ka 喀
yu,yong 喁
wei 喂
nan 喃
shan 善
yu 喅
zhe 喆
la 喇
jie,xie 喈
hou 喉
kan,jian,han 喊
die,zha,qie 喋
zhou 喌
chai 喍
wai 喎
nuo,re 喏
yu 喐
yin 喑
zan,za 喒
yao 喓
o,wu,wo 喔
mian 喕
hu 喖
yun 喗
chuan 喘
hui,zhou 喙
huan 喚
xuan,yuan,huan,he 喛
chi,xi 喜
ye,kai,he 喝
ji 喞
kui,huai 喟
chong,zhong 喠
wei 喡
sha,che 喢
xu 喣
huang 喤
zha,duo 喥
nie,yi 喦
xuan 喧
liang 喨
yu 喩
sang 喪
chi,kai 喫
jiao,qiao 喬
yan 喭
shan,dan,zhan,chan,tan 單
pen,ben 喯
sun,can,qi 喰
li 喱
yo 喲
cha,zha 喳
wei 喴
miao 喵
ying 営
pen 喷
bu 喸
kui 喹
xi 喺
yu 喻
jie 喼
lou 喽
ku 喾
qiao,zao 喿
hu 嗀
ti 嗁
yao 嗂
hu,xiao,he 嗃
sha,xia,a 嗄
xiu 嗅
qiang,cheng 嗆
se 嗇
yong 嗈
su 嗉
hong,gong 嗊
xie 嗋
ai,yi,wo 嗌
shuo,suo 嗍
ma 嗎
cha 嗏
hai 嗐
ke,he,xia 嗑
ta,da 嗒
sang 嗓
chen,tian 嗔
ru 嗕
su,sou 嗖
gu,wa 嗗
ji 嗘
bang,beng,pang 嗙
wu 嗚
qian,qie,xian 嗛
shi 嗜
ge 嗝
zi 嗞
jie,jue 嗟
lao 嗠
weng 嗡
wa 嗢
si 嗣
chi 嗤
hao 嗥
suo 嗦
hai,hei 嗨
suo 嗩
qin 嗪
nie 嗫
he 嗬
zhi 嗭
sai 嗮
ǹ,ňg,ng,ǹg,ň,n 嗯
ge 嗰
na 嗱
die,dia 嗲
ai 嗳
qiang 嗴
tong 嗵
bi 嗶
ao 嗷
ao 嗸
lian 嗹
sui,zui 嗺
zhe,zhu 嗻
mo 嗼
shu,shuo,sou 嗽
sou 嗾
tan 嗿
di,zhe 嘀
zu,za,qi 嘁
jiao 嘂
chong 嘃
jiao,dao 嘄
kai,ge 嘅
tan 嘆
shan,can,shen 嘇
cao 嘈
jia 嘉
ai 嘊
xiao 嘋
piao 嘌
lou 嘍
ga 嘎
gu,jia 嘏
jiao,miu,bao,xiao,lao 嘐
hu 嘑
hui 嘒
guo 嘓
xu,chu,ou 嘔
xian 嘕
ze 嘖
chang 嘗
xu,shi 嘘
po 嘙
de,dai,dei 嘚
ma 嘛
ma 嘜
hu 嘝
lei,le 嘞
du 嘟
ga 嘠
tang 嘡
ye 嘢
beng 嘣
ying 嘤
sai 嘥
jiao 嘦
mi 嘧
xiao 嘨
hua 嘩
mai 嘪
ran 嘫
zuo,chuai 嘬
peng 嘭
xiao,lao,chao 嘮
chi,xiao 嘯
ji 嘰
zhu 嘱
zhao,chao 嘲
kui 嘳
zui 嘴
xiao 嘵
si 嘶
hao 嘷
fu,m̄,ḿ,wu 嘸
liao 嘹
qiao 嘺
xi 嘻
xu,chu,shou 嘼
tuo,dan,chan,tan 嘽
dan,tan 嘾
hei,mu,mo 嘿
xun 噀
e,wu,wo 噁
zun 噂
fan,bo 噃
chi 噄
hui 噅
zan,can 噆
chuang 噇
cu,za,he 噈
dan 噉
yu 噊
kuo,tun 噋
cheng,ceng 噌
jiao,jiu 噍
ye,yi,sha 噎
xi 噏
qi 噐
hao 噑
lian 噒
xu 噓
deng 噔
hui 噕
yin 噖
pu 噗
jue 噘
qin 噙
xun 噚
nie 噛
lu 噜
si 噝
yan 噞
ying 噟
da 噠
dan,zhan 噡
yu,ao,o 噢
zhuo,zhou,zhu,du 噣
jin 噤
nang,nong 噥
hui,yue 噦
xie 噧
qi 器
e 噩
zao 噪
ai,yi 噫
shi 噬
chi,jiao,qiao 噭
yuan 噮
ai 噯
yong 噰
xue,jue 噱
kuo,wei,guai,kuai 噲
yu 噳
fen,pen 噴
dao 噵
ga,ge 噶
xin,hm,hen 噷
dun 噸
dang 噹
xin 噺
sai 噻
pi 噼
pi 噽
yin 噾
zui 噿
ning 嚀
di 嚁
lan,han 嚂
ta 嚃
huo,o,wo 嚄
ru 嚅
hao 嚆
xia,he 嚇
ye 嚈
duo 嚉
pi,xi,xiu 嚊
zhou,chou 嚋
zhai,ji,jie 嚌
jin 嚍
hao 嚎
ti 嚏
chang 嚐
xun 嚑
me 嚒
ca,cha 嚓
zhi,ti 嚔
lu 嚕
hui 嚖
pao,bao,bo 嚗
you 嚘
nie,yao 嚙
yin 嚚
hu,yo 嚛
ma,mei,me 嚜
hong 嚝
zhe 嚞
li 嚟
liu 嚠
hai 嚡
nang 嚢
ao,xiao 嚣
mo 嚤
yan 嚥
li 嚦
lu 嚧
long 嚨
mo 嚩
dan 嚪
chen 嚫
pin 嚬
pi 嚭
xiang 嚮
huo,xue 嚯
mo 嚰
xi 嚱
duo 嚲
ku 嚳
yan 嚴
chan 嚵
ying 嚶
rang 嚷
dian 嚸
la 嚹
ta 嚺
xiao 嚻
jiao,jue 嚼
chuo 嚽
huan 嚾
huo 嚿
zhuan 囀
nie,zhe 囁
ao,xiao 囂
ca,za,zha 囃
li 囄
chan 囅
chai 囆
li 囇
yi 囈
luo 囉
nang 囊
zan,za,can 囋
su 囌
xi 囍
zen 囎
jian 囏
nie,yan,za,e 囐
zhu 囑
lan 囒
nie 囓
nang 囔
lan 囕
lo 囖
wei,guo 囗
hui 囘
yin 囙
qiu 囚
si 四
nin 囜
yue,nan,jian 囝
hui 回
xin 囟
yin 因
nie,nan 囡
qiu,tuan 团
tuan 団
dun,tun 囤
kang 囥
yuan 囦
jiong 囧
pian 囨
yun 囩
cong 囪
hu 囫
hui 囬
wan,yuan 园
e 囮
guo 囯
kun 困
chuang,cong 囱
tong 囲
tu 図
wei 围
lun 囵
guo 囶
qun 囷
ri 囸
ling 囹
gu 固
guo 囻
tai 囼
guo 国
tu 图
you 囿
guo 圀
yin 圁
huan,hun 圂
pu 圃
yu 圄
han 圅
yuan 圆
lun 圇
quan,juan 圈
yu 圉
qing 圊
guo 國
chui,chuan 圌
wei 圍
yuan 圎
quan 圏
ku 圐
pu 圑
yuan 園
