líng,yuán,xīng 〇
yí 冝
mí 冞
shì 冟
guān,guàn 冠
méng 冡
zhǒng 冢
jù 冣
yuān 冤
míng,mián,miàn 冥
kòu 冦
lín 冧
fù 冨
xiě 冩
mì 冪
bīng 冫
dōng 冬
tài 冭
gāng 冮
féng,píng 冯
bīng,níng 冰
hù 冱
chōng,chòng 冲
jué 决
hù 冴
kuàng 况
yě 冶
lěng,líng,lǐng 冷
pàn 冸
fú 冹
mǐn 冺
dòng 冻
xiǎn,shěng 冼
liè 冽
qià 冾
jiān 冿
jìng,chēng 净
sōu 凁
měi 凂
tú 凃
qī 凄
gù 凅
zhǔn 准
sōng 凇
jìng 凈
liáng,liàng 凉
qìng 凊
diāo 凋
líng,lìng 凌
dòng 凍
gàn 凎
jiǎn 减
yīn 凐
còu 凑
ái 凒
lì 凓
chuàng,cāng 凔
mǐng 凕
zhǔn 凖
cuī 凗
sī 凘
duó 凙
jìn 凚
lǐn 凛
lǐn 凜
níng 凝
xī 凞
dú 凟
jǐ,jī 几
fán 凡
fán 凢
fán 凣
fèng 凤
jū 凥
chǔ,chù 処
zhēng 凧
fēng 凨
mù 凩
zhǐ 凪
fú 凫
fēng 凬
píng 凭
fēng 凮
kǎi 凯
huáng 凰
kǎi 凱
gān 凲
dèng 凳
píng 凴
qiǎn,kǎn 凵
xiōng 凶
kuài 凷
tū 凸
āo,wā 凹
chū 出
jī 击
dàng 凼
hán 函
hán 凾
záo,zuò 凿
dāo,diāo 刀
diāo 刁
dāo 刂
rèn 刃
rèn 刄
chuāng 刅
fēn,fèn,fén 分
qiè,qiē,qì 切
yì 刈
jī 刉
kān 刊
qiàn 刋
cǔn 刌
chú 刍
wěn 刎
jī 刏
dǎn 刐
xíng 刑
huà,guò,guǒ,huá,huai 划
wán 刓
jué 刔
lí 刕
yuè 刖
liè,lì 列
liú 刘
zé 则
gāng 刚
chuàng,chuāng 创
fú 刜
chū 初
qù 刞
diāo 刟
shān 删
mǐn 刡
líng 刢
zhōng 刣
pàn 判
bié 別
jié 刦
jié 刧
páo,bào 刨
lì 利
shān 刪
bié,biè 别
chǎn,chàn 刬
jǐng 刭
guā 刮
gēng 刯
dào 到
chuàng 刱
kuī 刲
kū,kōu 刳
duò 刴
èr 刵
zhì 制
shuā,shuà 刷
quàn,xuàn 券
shā,chà 刹
cì,qì,cī 刺
kè,kēi 刻
jié 刼
guì 刽
cì 刾
guì 刿
kǎi 剀
duò 剁
jì 剂
tì 剃
jǐng 剄
lóu,dōu 剅
luǒ 剆
zé 則
yuān 剈
cuò 剉
xuē,qiào,xiāo,shào 削
kè,kēi 剋
lá,là 剌
qián,jiǎn 前
shā 剎
chuàng 剏
guǎ 剐
jiàn 剑
cuò 剒
lí 剓
tī,tì 剔
fèi 剕
pōu,pǒ 剖
chǎn,chàn 剗
qí 剘
chuàng 剙
zì 剚
gāng 剛
wān 剜
bō 剝
jī 剞
duō,chì 剟
qíng,lüè 剠
shàn,yǎn 剡
dū,zhuó 剢
jiàn 剣
jì 剤
bō,bāo,pū 剥
yān 剦
jù 剧
huō,huò 剨
shèng 剩
jiǎn 剪
duó,dù 剫
duān,tuán,zhì 剬
wū 剭
guǎ 剮
fù,pì 副
shèng 剰
jiàn 剱
gē 割
dá,zhá 剳
kǎi,āi 剴
chuàng,chuāng,qiāng 創
chuān 剶
chǎn 剷
tuán,zhuān,zhuàn 剸
lù,jiū 剹
lí 剺
pěng 剻
shān 剼
piāo,piào,piáo,biǎo,biāo 剽
kōu 剾
jiǎo,chāo 剿
guā 劀
qiāo,qiáo 劁
jué 劂
huà,huá,huai 劃
zhā,zhá 劄
zhuó 劅
lián 劆
jù 劇
pī,pǐ 劈
liú 劉
guì 劊
jiǎo,chāo 劋
guì 劌
jiàn 劍
jiàn 劎
tāng 劏
huō,huò,huá 劐
jì 劑
jiàn 劒
yì 劓
jiàn 劔
zhì 劕
chán 劖
jiǎn,zuān 劗
mó,mí 劘
lí 劙
zhǔ 劚
lì 力
yà 劜
quàn 劝
bàn 办
gōng 功
jiā 加
wù 务
mài 劢
liè 劣
jìn 劤
kēng 劥
xié,liè 劦
zhǐ 劧
dòng 动
zhù,chú 助
nǔ 努
jié 劫
qú 劬
shào 劭
yì 劮
zhū 劯
mò 劰
lì 励
jìn,jìng 劲
láo 劳
láo 労
juàn 劵
kǒu 劶
yáng 劷
wā 劸
xiào 効
móu 劺
kuāng 劻
jié 劼
liè 劽
hé,kài 劾
shì 势
kè 勀
jìn,jìng 勁
gào 勂
bó 勃
mǐn 勄
chì 勅
láng 勆
yǒng 勇
yǒng 勈
miǎn 勉
kè 勊
xūn 勋
juàn,juān 勌
qíng 勍
lù 勎
bù 勏
měng 勐
chì,lài 勑
lēi,lè,lei 勒
kài 勓
miǎn 勔
dòng 動
xù,mào 勖
xù 勗
kān 勘
wù,wǔ,wú,máo,mào 務
yì 勚
xūn 勛
wěng,yǎng 勜
shèng 勝
láo,lào,liáo 勞
mù,bó 募
lù 勠
piào 勡
shì 勢
jī 勣
qín,qí 勤
jiàng,qiǎng,jiǎng 勥
chāo,jiǎo,cháo 勦
quàn 勧
xiàng 勨
yì 勩
jué 勪
fān 勫
juān 勬
tóng,dòng 勭
jù 勮
dān 勯
xié 勰
mài 勱
xūn 勲
xūn 勳
lǜ 勴
lì 勵
chè 勶
ráng,xiāng 勷
quàn 勸
bāo 勹
sháo,shuò,zhuó,dì 勺
yún 勻
jiū 勼
bào 勽
gōu,gòu 勾
wù,mò 勿
yún,jūn,yùn 匀
wén 匁
xiōng 匂
gài 匃
gài 匄
bāo,páo,fú 包
cōng 匆
yì 匇
xiōng 匈
pēng 匉
jū 匊
táo,yáo 匋
gé 匌
pú 匍
è 匎
páo 匏
fú 匐
gōng 匑
dá 匒
jiù 匓
gōng 匔
bǐ,pìn 匕
huà,huā,huò 化
běi,bèi 北
nǎo 匘
shi,chí 匙
fāng,fàng 匚
jiù 匛
yí 匜
zā 匝
jiàng 匞
kàng 匟
jiàng 匠
kuāng,wāng 匡
hū 匢
xiá 匣
qū 匤
fán 匥
guǐ 匦
qiè 匧
zāng,cáng 匨
kuāng 匩
fěi,fēi,fēn 匪
hū 匫
yǔ 匬
guǐ 匭
kuì 匮
huì 匯
dān 匰
guì,kuì 匱
lián 匲
lián 匳
suǎn 匴
dú 匵
jiù 匶
jué 匷
xì 匸
pǐ 匹
qū,ōu 区
yī,yì 医
kē,ē,ǎn 匼
yǎn,yàn 匽
biǎn 匾
nì,tè 匿
qū,ōu,gōu,qiū,kòu 區
shí 十
xùn 卂
qiān 千
niàn 卄
sà 卅
zú 卆
shēng 升
wǔ 午
huì 卉
bàn,pàn 半
shì 卋
xì 卌
wàn 卍
huá,huà 华
xié 协
wàn 卐
bēi,bǐ,bì,pí,bān 卑
zú,cù,cuì 卒
zhuó,zhuō 卓
xié 協
dān,chán,shàn 单
mài 卖
nán,nā 南
dān 単
jí,chì 卙
bó 博
shuài 卛
bo,bǔ,pū 卜
kuàng,guàn 卝
biàn,pán 卞
bǔ,jī 卟
zhàn,zhān,tiē 占
kǎ,qiǎ 卡
lú 卢
yǒu 卣
lǔ,xī 卤
xī 卥
guà 卦
wò 卧
xiè 卨
jié 卩
jié 卪
wèi 卫
áng,yǎng 卬
qióng 卭
zhī 卮
mǎo 卯
yìn,yì 印
wēi 危
shào 卲
jí 即
què 却
luǎn,kūn 卵
chǐ 卶
juǎn,juàn,quán,quān,gǔn,jùn 卷
xiè 卸
xù,sū 卹
jǐn 卺
què,jiǎo,xì 卻
wù 卼
jí 卽
è 卾
qīng 卿
xī 厀
sān 厁
chǎng,hǎn,yán,ān 厂
wěi,yán 厃
è,ě 厄
tīng 厅
lì 历
zhé,zhái 厇
hǎn,àn 厈
lì 厉
yǎ 厊
yā,yà 压
yàn 厌
shè 厍
dǐ,zhǐ 厎
zhǎ,zhǎi 厏
páng 厐
yá 厑
qiè 厒
yá,ái 厓
zhì,shī 厔
cè,si 厕
páng,máng 厖
tí 厗
lí,chán 厘
shè 厙
hòu 厚
tīng 厛
zuī 厜
cuò,jí 厝
fèi 厞
yuán 原
cè 厠
yuán 厡
xiāng 厢
yǎn 厣
lì 厤
jué 厥
shà,xià 厦
diān 厧
chú 厨
jiù 厩
jǐn 厪
áo 厫
guǐ 厬
yàn,yā,yǎn,yān,yì 厭
sī 厮
lì 厯
chǎng 厰
lán,qiān 厱
lì,lài 厲
yán 厳
yǎn 厴
yuán 厵
sī,mǒu 厶
gōng,hóng 厷
lín,min 厸
róu,qiú 厹
qù 厺
qù,qū 去
ěr 厼
lěi 厽
dū,dǔ 厾
xiàn 县
zhuān,huì 叀
sān 叁
cān,cēn,shēn 参
cān,shēn,sān,cēn,càn,sǎn 參
cān 叄
cān 叅
ài 叆
dài 叇
yòu 又
chā,chá,chǎ,chà 叉
jí 及
yǒu 友
shuāng 双
fǎn,fàn 反
shōu 収
guài 叏
bá 叐
fā,fà 发
ruò 叒
shì,lì 叓
shū 叔
zhuó,yǐ,lì,jué 叕
qǔ,qū 取
shòu,dào 受
biàn 变
xù 叙
jiǎ,xiá 叚
pàn 叛
sǒu 叜
jí 叝
wèi 叞
sǒu,sōu,xiāo 叟
dié 叠
ruì 叡
cóng 叢
kǒu 口
gǔ,gù,kū 古
jù,gōu,gòu,qú 句
lìng 另
guǎ 叧
dāo,tāo,dáo 叨
kòu 叩
zhǐ,zhī 只
jiào 叫
zhào,shào 召
bā,pā,ba 叭
dīng 叮
kě,gē,kè 可
tái,yí,sì,tāi 台
chì,huà,é 叱
shǐ 史
yòu 右
qiú 叴
pǒ 叵
yè,xié 叶
hào,háo,xiāo 号
sī,cí,sì 司
tàn,yǐ,yòu 叹
chǐ 叺
lè,lì 叻
diāo 叼
jī,jiào 叽
liǎo 叾
hōng,hóng 叿
miē 吀
xū,yù,yū 吁
máng,màng 吂
chī,qī 吃
gè,gě 各
xuān,sòng 吅
yāo 吆
zǐ,jí 吇
hé,gě 合
jí 吉
diào 吊
cùn,dòu,yīng 吋
tóng,tòng 同
míng,mìng 名
hòu 后
lì 吏
tǔ,tù 吐
xiàng 向
zhā,zhà 吒
xià,hà,hè 吓
yě,yē 吔
lǚ 吕
yā,ā 吖
ma,má,mǎ 吗
ǒu 吘
huō 吙
yī,xī 吚
jūn 君
chǒu 吜
lìn 吝
tūn,tiān 吞
yín,yǐn,jìn 吟
fèi 吠
bǐ,bì,pǐ 吡
qìn 吢
qìn 吣
jiè,gè,xiè 吤
bù,pōu 吥
fǒu,pǐ 否
ba,bā,pā 吧
dūn,tún,tǔn 吨
fēn,pèn 吩
é,huā 吪
hán,hàn 含
tīng,yǐn,yí 听
kēng,háng,hàng 吭
shǔn 吮
qǐ 启
hóng 吰
zhī,zī,qì 吱
yǐn,shěn 吲
wú,yú 吳
wú,tūn 吴
chǎo,miǎo,chāo,chào 吵
nà 吶
xuè,chuò,jué 吷
xī 吸
chuī,chuì 吹
dōu,rú 吺
wěn 吻
hǒu 吼
hōng,ōu,hǒu 吽
wú,yú,yá 吾
gào 吿
ya,xiā,yā 呀
jùn 呁
lǚ 呂
è,ài,e 呃
gé 呄
méi,wěn 呅
dāi,bǎo,ái 呆
qǐ 呇
chéng,kuáng,chěng 呈
wú 呉
gào,jū,gù 告
fū 呋
jiào 呌
hōng 呍
chǐ,yīng 呎
shēng 呏
nà,nè,na,nuò,ne 呐
tūn 呑
wǔ,ḿ 呒
yì 呓
dāi,tǎi 呔
ǒu,òu 呕
lì 呖
bei,bài 呗
yuán,yún,yùn 员
guō 呙
wen 呚
qiāng,qiàng 呛
wū 呜
è 呝
shī 呞
juǎn 呟
pěn 呠
wěn,mǐn 呡
ne,ní,nǐ,nī 呢
ḿ,móu,m̀ 呣
lìng,líng 呤
rán 呥
yōu 呦
dǐ 呧
zhōu 周
shì 呩
zhòu 呪
tiè,chè 呫
xì,chì 呬
yì 呭
qì,zhī 呮
píng 呯
zǐ,cī,jī,xì 呰
gū,guā,guǎ 呱
cī,cí,zī 呲
wèi,mèi 味
xǔ,hǒu,hōu,gòu,gōu,gū 呴
hē,hā,ā,a,kē,huō,á,à 呵
náo,ná,nǔ 呶
gā,xiā,jiǎ 呷
pēi 呸
yì,chì 呹
xiāo,háo 呺
shēn 呻
hū,xiāo,xū,hè,xià 呼
mìng 命
dá,yà,tǎ,dàn 呾
qù,kā 呿
jǔ,zuǐ 咀
hán,xián,gàn 咁
zā 咂
tuō 咃
duō 咄
pǒu 咅
páo 咆
bié,bì 咇
fú 咈
yāng,yǎng 咉
hé 咊
zǎ,zé,zhà,zhā 咋
hé,hè,huò,huó,hú 和
hāi,tāi 咍
jiù,gāo 咎
yǒng 咏
fù,fú 咐
dā 咑
zhòu 咒
wǎ 咓
kā,nòng,kǎ 咔
gū,gu 咕
kā,jiā,gā 咖
zuo 咗
bù 咘
lóng 咙
dōng 咚
níng 咛
ta 咜
sī 咝
xiàn,xián 咞
huò 咟
qì 咠
èr,ér 咡
è 咢
guāng,gōng 咣
zhà 咤
xì,xī,dié,zhì 咥
yí,xī 咦
liě,liè,liē,lié,lie 咧
zī 咨
miē,mie 咩
mī,miē,mǎi,mǐ 咪
zhǐ 咫
yǎo,jiāo,yāo,jiǎo 咬
jī,xī,qià 咭
zhòu,zhù,zhū,rú 咮
gē,luò,kǎ,kā,lo 咯
shù,xún 咰
zán,zá,zǎ,zan 咱
xiào 咲
hāi,hái,ké,gāi 咳
huī,hái 咴
kuǎ 咵
huài,shì,guō,guā,huà 咶
táo,tiào 咷
xián,jiǎn,jiān 咸
è,àn,ń 咹
xuǎn,xuān 咺
xiū,xǔ,xiāo,xù 咻
guō,wāi,hé,wǒ,wō,guǎ 咼
yàn,yān,yè,yuān 咽
lǎo 咾
yī 咿
āi 哀
pǐn 品
shěn 哂
tóng 哃
hōng,hòng,hǒng 哄
xiōng,hōng 哅
duō,chǐ,zhà,chì,duò,diě 哆
wa,wā,guī,huá,wá 哇
hā,hà,hē,hé,hǎ,tà,shà 哈
zāi 哉
yòu 哊
diè,dì 哋
pài,gū 哌
xiǎng 响
āi 哎
gén,hěn,ǹ 哏
kuāng,qiāng 哐
yǎ,yā 哑
dá 哒
xiāo 哓
bì 哔
huì,yuě 哕
nián 哖
huā,huá 哗
xing 哘
kuài 哙
duǒ 哚
fēn 哛
jì 哜
nóng 哝
mōu 哞
yō,yo 哟
hào 哠
yuán,yún,yùn 員
lòng 哢
pǒu 哣
máng 哤
gē 哥
ó,é,ò 哦
chī,xià,hè 哧
shào,sāo,xiāo,xiào,sào 哨
lī,lì,li,lǐ,mái,yīng 哩
nǎ,nuó,na,nǎi,nà,niè,né,něi 哪
zú 哫
hé 哬
kū 哭
xiāo,xiào,xuē 哮
xiàn 哯
láo 哰
bō,pò,bèi,bā,bó 哱
zhé 哲
zhā 哳
liàng,láng 哴
bā 哵
miē 哶
liè,lǜ 哷
suī 哸
fú 哹
bǔ,bū,fǔ 哺
hān 哻
hēng,hng 哼
gěng,yǐng,yìng,ńg,ń 哽
shuō,yuè 哾
gě 哿
yòu 唀
yàn 唁
gū 唂
gǔ 唃
bei,bài 唄
hán 唅
suō,shuà 唆
chún,zhēn,zhèn 唇
yì 唈
āi,ǎi,ài 唉
jiá,qiǎn 唊
tū 唋
xián,yán,dàn 唌
wǎn 唍
lì 唎
xī,xiè 唏
táng 唐
zuò,shì 唑
qiú 唒
chē 唓
wú,wù,ńg,ḿ,ń 唔
zào 唕
yǎ 唖
dōu 唗
qǐ 唘
dí 唙
qìn,qīn 唚
mà 唛
mò 唜
gòng,hǒng 唝
dǒu 唞
qù 唟
láo,lào 唠
liǎng,yīng 唡
suǒ 唢
zào 唣
huàn 唤
lang 唥
shā 唦
jī,jié 唧
zǔ 唨
wō,wěi 唩
fěng,běng 唪
jìn,yín 唫
hǔ,xiāo,guó,xià,háo 唬
qì 唭
shòu,shú 售
wéi,wěi 唯
shuā 唰
chàng 唱
ér,wā 唲
lì 唳
qiàng 唴
ǎn,ng,n 唵
zé,jiè 唶
yō,yù 唷
niàn,diàn 唸
yū 唹
tiǎn 唺
lài,lái 唻
shà,qiè 唼
xī 唽
tuò 唾
hū 唿
ái 啀
zhāo,dāo,zhōu,tiáo,diào 啁
nǒu 啂
kěn 啃
zhuó,zhòu 啄
zhuó,zhào 啅
shāng 商
dì,shì,zhāi 啇
hēng,hèng,è,zá 啈
lín,lán,lèn 啉
a,è,ā,á,ǎ,à 啊
cǎi,cāi,xiāo 啋
xiāng,qiāng 啌
tūn,zhūn,xiāng,tuī,duǐ 啍
wǔ 啎
wèn 問
cuì,zú,zá,è,chuài 啐
shà,zā,jié,dié,tì 啑
gǔ 啒
qǐ 啓
qǐ 啔
táo 啕
dàn 啖
dàn 啗
yè,wā 啘
zǐ,cī 啙
bǐ,tú 啚
cuì 啛
chuài,chuò,zhuó 啜
hé 啝
yǎ,è,yā 啞
qǐ 啟
zhé 啠
fēi,pèi,pái,pēi,bài 啡
liǎng,yīng 啢
xián 啣
pí 啤
shá,shà 啥
la,lā 啦
zé 啧
yīng,qíng 啨
guà 啩
pā 啪
zhě 啫
sè 啬
zhuàn 啭
niè 啮
guō 啯
luō 啰
yán 啱
dī 啲
quán,jué 啳
chǎn,tān 啴
bō,bo 啵
dìng 啶
lāng 啷
xiào 啸
jú 啹
táng 啺
chì,dì 啻
tí 啼
án,ān 啽
jiū 啾
dàn 啿
kā,kè,ke 喀
yóng,yú 喁
wèi 喂
nán,nǎn 喃
shàn 善
yù 喅
zhé 喆
lǎ,lá,lā,la 喇
jiē,xiè 喈
hóu 喉
hǎn,kàn,jiān 喊
dié,zhá,qiè 喋
zhōu 喌
chái 喍
wāi 喎
nuò,rě 喏
yù 喐
yīn,yǐn,yìn 喑
zá,zǎn,zán,zà,zan 喒
yāo 喓
ō,wō,wū,o,ò 喔
miǎn 喕
hú 喖
yǔn 喗
chuǎn 喘
huì,zhòu 喙
huàn 喚
huàn,yuán,xuǎn,hé 喛
xǐ,xī,chì 喜
hē,yè,hè,kài 喝
jī 喞
kuì,huài 喟
zhǒng,chǒng 喠
wéi,wèi 喡
shà,chè 喢
xù 喣
huáng 喤
duó,zhà 喥
niè,yì 喦
xuān,xuǎn 喧
liàng 喨
yù 喩
sàng,sāng 喪
chī,kài 喫
qiáo,jiǎo 喬
yàn,yǎn 喭
dān,dǎn,chán,shàn,chǎn,dàn,zhàn,tán 單
pèn,bēn 喯
cān,sūn,qī 喰
lí 喱
yō,yo 喲
zhā,zha,chā 喳
wēi 喴
miāo 喵
yíng 営
pēn,pèn 喷
bǔ 喸
kuí 喹
xí 喺
yù,yú 喻
jiē 喼
lóu,lou 喽
kù 喾
zào,qiāo 喿
hù 嗀
tí 嗁
yáo 嗂
hè,xiāo,xiào,hù 嗃
á,shà,a,xià 嗄
xiù 嗅
qiāng,qiàng,chéng 嗆
sè 嗇
yōng 嗈
sù 嗉
hǒng,gǒng,gòng 嗊
xié 嗋
ài,yì,wò 嗌
suō,shuò 嗍
ma,mà,má,mǎ 嗎
chā 嗏
hài 嗐
kē,kè,hé,xiá 嗑
dā,tà,da 嗒
sǎng 嗓
chēn,tián 嗔
rù 嗕
sōu,sù,sòu 嗖
wā,gū 嗗
jī 嗘
pǎng,bēng,bàng 嗙
wū,wù 嗚
qiǎn,xián,qiàn,qiān,qiè 嗛
shì 嗜
gé 嗝
zī 嗞
jiē,jiè,juē 嗟
lào 嗠
wēng,wěng 嗡
wà 嗢
sì 嗣
chī 嗤
háo 嗥
suo,suō 嗦
hāi,hēi 嗨
suǒ 嗩
qín 嗪
niè 嗫
hē 嗬
zhí 嗭
sài 嗮
ń,ńg,ňg,ň,ǹg,ǹ 嗯
gě 嗰
ná 嗱
diē,diǎ 嗲
āi,ǎi,ài 嗳
qiāng 嗴
tōng 嗵
bì 嗶
áo 嗷
áo 嗸
lián 嗹
zuī,suī,zuǐ 嗺
zhē,zhè,zhù,zhe 嗻
mò 嗼
sòu,shuò,shù 嗽
sǒu 嗾
tǎn 嗿
dí,zhé,dī 嘀
qī,zú,zā 嘁
jiào 嘂
chōng 嘃
jiāo,jiào,dǎo 嘄
kǎi,kài,gé 嘅
tàn 嘆
shān,càn,shěn 嘇
cáo 嘈
jiā 嘉
ái 嘊
xiào 嘋
piào,piāo 嘌
lóu,lǒu,lou 嘍
gā,gá,gǎ 嘎
gǔ,jiǎ 嘏
xiāo,jiāo,láo,bào,miù 嘐
hū,hù 嘑
huì 嘒
guō 嘓
ǒu,ōu,òu,xū,chū,ou 嘔
xiān 嘕
zé 嘖
cháng 嘗
xū,shī 嘘
pó 嘙
dē,dé,dāi,dēi 嘚
ma,má 嘛
mà 嘜
hú 嘝
lei,lē 嘞
dū 嘟
gā 嘠
tāng 嘡
yě 嘢
bēng 嘣
yīng 嘤
sāi 嘥
jiào 嘦
mì 嘧
xiào 嘨
huā,huá 嘩
mǎi 嘪
rán 嘫
chuài,zuō 嘬
pēng 嘭
láo,chāo,lào,xiāo 嘮
xiào,chì 嘯
jī 嘰
zhǔ 嘱
cháo,zhāo 嘲
kuì 嘳
zuǐ 嘴
xiāo 嘵
sī 嘶
háo 嘷
fǔ,wǔ,m̄,ḿ 嘸
liáo,liào 嘹
qiáo,qiào 嘺
xī 嘻
chù,xù,shòu 嘼
chǎn,tān,chān,tuō,dǎn 嘽
dàn,tán 嘾
hēi,mò,mù 嘿
xùn 噀
ě,wù,wò 噁
zǔn 噂
fān,bo 噃
chī 噄
huī 噅
zǎn,cǎn 噆
chuáng 噇
cù,zā,hé 噈
dàn 噉
yù 噊
tūn,kuò 噋
cēng,chēng 噌
jiào,jiāo,jiū 噍
yē,yì,shà 噎
xī 噏
qì 噐
háo 噑
lián 噒
xū 噓
dēng 噔
huī 噕
yín 噖
pū 噗
juē 噘
qín 噙
xún 噚
niè 噛
lū 噜
sī 噝
yǎn 噞
yìng 噟
dā,dá 噠
zhān,dān 噡
ō,yǔ,yù,ào 噢
zhòu,zhuó,zhú,dú 噣
jìn 噤
nóng,náng 噥
yuě,huì 噦
xiè 噧
qì 器
è 噩
zào 噪
yī,ǎi,yì 噫
shì 噬
jiào,qiào,chī 噭
yuàn 噮
āi,ǎi,ài 噯
yōng,yǒng 噰
jué,xué 噱
kuài,guài,kuò,wèi 噲
yǔ 噳
pēn,pèn,fèn 噴
dào 噵
gá,gé 噶
hm,xīn,hēn 噷
dūn 噸
dāng 噹
xīn 噺
sāi 噻
pī 噼
pǐ 噽
yīn 噾
zuǐ 噿
níng 嚀
dí 嚁
làn,hǎn 嚂
tā,tà 嚃
huō,huò,wò,ǒ 嚄
rú 嚅
hāo 嚆
xià,hè 嚇
yè 嚈
duō 嚉
pì,xì,xiù 嚊
chóu,zhōu 嚋
jì,jiē,zhāi 嚌
jìn 嚍
háo 嚎
tì 嚏
cháng 嚐
xūn 嚑
mē 嚒
cā,chā 嚓
tì,zhì 嚔
lǔ,lū 嚕
huì 嚖
bó,pào,bào 嚗
yōu 嚘
niè,yǎo 嚙
yín 嚚
hù,yo 嚛
me,mèi,ma 嚜
hōng 嚝
zhé 嚞
lí 嚟
liú 嚠
hai 嚡
náng 嚢
xiāo,áo 嚣
mó 嚤
yàn 嚥
lì 嚦
lú 嚧
lóng 嚨
mó 嚩
dàn 嚪
chèn 嚫
pín 嚬
pǐ 嚭
xiàng,xiǎng 嚮
huò,xuè 嚯
mó 嚰
xì 嚱
duǒ 嚲
kù 嚳
yán,yǎn 嚴
chán,chān 嚵
yīng 嚶
rǎng,rāng 嚷
diǎn 嚸
lá,la 嚹
tà 嚺
xiāo 嚻
jué,jiáo,jiào 嚼
chuò 嚽
huān,huàn 嚾
huò 嚿
zhuàn 囀
niè,zhé 囁
xiāo,áo 囂
cà,zhā,zǎ 囃
lí 囄
chǎn 囅
chài 囆
lì 囇
yì 囈
luō,luó,luo 囉
náng,nāng 囊
zá,zàn,cān 囋
sū 囌
xǐ 囍
zen 囎
jiān 囏
zá,niè,yàn,è 囐
zhǔ 囑
lán 囒
niè 囓
nāng,nang 囔
lǎn 囕
lo 囖
wéi,guó 囗
huí 囘
yīn 囙
qiú 囚
sì 四
nín 囜
jiǎn,nān,yuè 囝
huí 回
xìn 囟
yīn 因
nān,niè 囡
tuán,qiú 团
tuán 団
dùn,tún 囤
kàng 囥
yuān 囦
jiǒng 囧
piān 囨
yún 囩
cōng 囪
hú 囫
huí 囬
yuán,wán 园
é 囮
guó 囯
kùn 困
cōng,chuāng 囱
tōng 囲
tú 図
wéi 围
lún 囵
guó 囶
qūn 囷
rì 囸
líng 囹
gù 固
guó 囻
tāi 囼
guó 国
tú 图
yòu 囿
guó 圀
yín 圁
hùn,huàn 圂
pǔ 圃
yǔ 圄
hán 圅
yuán 圆
lún 圇
quān,juàn,juān,quán,juǎn 圈
yǔ 圉
qīng 圊
guó 國
chuán,chuí 圌
wéi 圍
yuán 圎
quān 圏
kū 圐
pǔ 圑
yuán 園
yuán 圓
yà 圔
tú 圕
tú 圖
tú 圗
tuán,chuán 團
lüè 圙
huì 圚
yì 圛
huán,yuán 圜
luán 圝
luán 圞
tǔ,dù,chǎ,tú 土
yà 圠
tǔ 圡
tǐng 圢
shèng,kū 圣
pú 圤
lù 圥
kuài 圦
yā 圧
zài 在
wéi,yú,xū 圩
gē,yì 圪
yù,zhūn 圫
wū 圬
guī 圭
pǐ 圮
yí 圯
de,dì 地
qiān,sú 圱
qiān 圲
zhèn,quǎn,chóu,huái 圳
zhuó 圴
dàng 圵
qià 圶
xià 圷
shān 圸
kuàng 圹
chǎng,cháng 场
qí,yín 圻
niè 圼
mò 圽
jī,jí,jié 圾
jiá 圿
zhǐ 址
zhǐ,zhì 坁
bǎn 坂
xūn 坃
yì 坄
qǐn 坅
méi,fén 坆
jūn,yùn 均
rǒng,kēng 坈
tún,dùn 坉
fāng,fáng 坊
bèn,fèn 坋
bèn 坌
tān 坍
kǎn,kàn 坎
huài,pī,péi 坏
zuò 坐
kēng,kàng 坑
bì 坒
jǐng,xíng 坓
dì,làn 坔
jīng 坕
jì 坖
kuài,yué 块
dǐ 坘
jīng 坙
jiān 坚
tán 坛
lì 坜
bà 坝
wù 坞
fén 坟
zhuì 坠
pō 坡
bàn,pǎn,pàn 坢
táng 坣
kūn 坤
qū,jù 坥
tǎn 坦
zhī 坧
tuó,yí 坨
gān 坩
píng 坪
diàn,zhēn 坫
guà 坬
ní 坭
tái 坮
pī,huài 坯
jiōng 坰
yǎng 坱
fó 坲
ào,āo,yǒu 坳
lù 坴
qiū 坵
mǔ,mù,méi 坶
kě,kē,jiōng 坷
gòu 坸
xuè 坹
bá 坺
chí,dǐ 坻
chè 坼
líng 坽
zhù 坾
fù,fú 坿
hū 垀
zhì 垁
chuí,zhuì 垂
lā,la 垃
lǒng 垄
lǒng 垅
lú 垆
ào 垇
dài 垈
páo 垉
min 垊
xíng 型
dòng,tǒng,tóng 垌
jì,jī 垍
hè 垎
lǜ 垏
cí 垐
chǐ 垑
lěi 垒
gāi 垓
yīn 垔
hòu 垕
duī 垖
zhào 垗
fú 垘
guāng 垙
yáo 垚
duǒ,duò 垛
duǒ,duò 垜
guǐ 垝
chá 垞
yáng 垟
yín,kèn 垠
fá 垡
gòu 垢
yuán 垣
dié 垤
xié 垥
kěn,yín 垦
shǎng,jiōng 垧
shǒu 垨
è,shèng 垩
bìng 垪
diàn 垫
hóng 垬
yā 垭
kuǎ 垮
da 垯
kǎ 垰
dàng 垱
kǎi 垲
háng 垳
nǎo 垴
ǎn 垵
xīng 垶
xiàn 垷
yuàn,huán 垸
bāng 垹
fū,fóu,pēi,póu 垺
bà,bèi 垻
yì 垼
yìn 垽
hàn,àn 垾
xù 垿
chuí 埀
qín 埁
gěng 埂
āi,zhì 埃
běng,fēng 埄
fáng,fāng,dì 埅
